,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
T47D,T47D,905945,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,T47D,breast
IGR-37,IGR-37,1240153,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,IGR-37,skin
PL-21,PL-21,1330991,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,PL-21,haematopoietic_and_lymphoid_tissue
SNU-398,SNU-398,1240217,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent,SNU-398,liver
SNU-81,SNU-81,1660036,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,SNU-81,large_intestine
CAL-29,CAL-29,1290730,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,CAL-29,urinary_tract
A101D,A101D,910921,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,A101D,skin
EC-GI-10,EC-GI-10,753555,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,EC-GI-10,oesophagus
KYSE-140,KYSE-140,753573,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-140,oesophagus
MKN28,MKN28,908139,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,MKN28,stomach
SAT,SAT,1299050,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,SAT,head_and_neck
NCI-H2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H2126,lung
COR-L95,COR-L95,1297439,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,COR-L95,lung
SK-MEL-31,SK-MEL-31,909727,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SK-MEL-31,skin
UACC-257,UACC-257,905977,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,UACC-257,haematopoietic_and_lymphoid_tissue
A549,A549,905949,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,A549,lung
ABC-1,ABC-1,906791,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,ABC-1,lung
KALS-1,KALS-1,907271,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,R,Adherent,KALS-1,central_nervous_system
MMAC-SF,MMAC-SF,925339,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,MMAC-SF,skin
SW1573,SW1573,724878,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,SW1573,lung
RERF-LC-Sq1,RERF-LC-Sq1,1298538,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,RERF-LC-Sq1,lung
NCI-H2342,NCI-H2342,687819,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2342,lung
MHH-CALL-2,MHH-CALL-2,908132,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,MHH-CALL-2,haematopoietic_and_lymphoid_tissue
SC-1,SC-1,1331030,Y,Y,N,N,N,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,NA,SC-1,haematopoietic_and_lymphoid_tissue
PA-1,PA-1,909255,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent,PA-1,ovary
BALL-1,BALL-1,910705,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,BALL-1,haematopoietic_and_lymphoid_tissue
CAL-27,CAL-27,910916,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,CAL-27,upper_aerodigestive_tract
KNS-81-FD,KNS-81-FD,924188,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,KNS-81-FD,central_nervous_system
U251,U251,905983,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,U251,central_nervous_system
SKN-3,SKN-3,1299059,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,SKN-3,head_and_neck
RPMI-6666,RPMI-6666,909701,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,RPMI-6666,haematopoietic_and_lymphoid_tissue
NCI-H630,NCI-H630,908482,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent,NCI-H630,large_intestine
COR-L303,COR-L303,1297438,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,COR-L303,lung
ME-1,ME-1,1330942,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,ME-1,haematopoietic_and_lymphoid_tissue
H2591,H2591,1240131,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2591,lung
BICR 78,BICR78,1240122,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BICR 78,oral_cavity
CGTH-W-1,CGTH-W-1,910568,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent,CGTH-W-1,thyroid
LB647-SCLC,LB647-SCLC,753582,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,LB647-SCLC,lung
VA-ES-BJ,VA-ES-BJ,688121,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,VA-ES-BJ,bone
SKM-1,SKM-1,909722,Y,Y,Y,Y,Y,leukemia,haematopoietic_neoplasm other,,MSS/MSI-L,R,Suspension,SKM-1,haematopoietic_and_lymphoid_tissue
P30-OHK,P30-OHK,909252,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension,P30-OHK,haematopoietic_and_lymphoid_tissue
NCI-H596,NCI-H596,908459,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,,MSS/MSI-L,R,Adherent,NCI-H596,lung
MDA-MB-415,MDA-MB-415,924240,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-415,breast
HSC-39,HSC-39,1322224,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Suspension,HSC-39,stomach
H513,H513,1240141,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Semi-Adherent,H513,pleura
C3A,C3A,910850,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,C3A,liver
DND-41,DND-41,1297446,Y,Y,Y,Y,Y,leukemia,T_cell_leukemia,ALL,MSI-H,R,Suspension,DND-41,haematopoietic_and_lymphoid_tissue
LU-139,LU-139,713878,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-139,lung
WSU-DLCL2,WSU-DLCL2,1331050,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,WSU-DLCL2,haematopoietic_and_lymphoid_tissue
SK-MEL-30,SK-MEL-30,909726,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,SK-MEL-30,skin
PCI-15A,PCI-15A,1240204,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,PCI-15A,upper_aerodigestive_tract
NCI-H82,NCI-H82,688031,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H82,lung
JHOS-3,JHOS-3,1480358,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,JHOS-3,ovary
CAL-148,CAL-148,924106,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension,CAL-148,breast
H2461,H2461,1290810,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2461,pleura
CHL-1,CHL-1,910853,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,CHL-1,skin
EW-24,EW-24,949168,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,EW-24,bone
LS-123,LS-123,907792,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,LS-123,large_intestine
SAS,SAS,909708,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,SAS,upper_aerodigestive_tract
HUTU-80,HUTU-80,907073,Y,Y,Y,Y,Y,digestive_system,digestive_system_other,,MSS/MSI-L,D/F12,Adherent,HUTU-80,small_intestine
OAW-28,OAW-28,946360,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OAW-28,ovary
NB12,NB12,949172,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB12,autonomic_ganglia
NB4,NB-4,1323913,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,NB4,haematopoietic_and_lymphoid_tissue
P31-FUJ,P31-FUJ,909253,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSI-H,R,Suspension,P31-FUJ,haematopoietic_and_lymphoid_tissue
KELLY,KELLY,753618,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,KELLY,autonomic_ganglia
CAL-39,CAL-39,924107,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,CAL-39,vulva
EMC-BAC-1,EMC-BAC-1,1503369,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,EMC-BAC-1,esophagus
TE-5,TE-5,735784,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-5,oesophagus
HOP-62,HOP-62,905972,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,HOP-62,lung
NCI-H1688,NCI-H1688,1298349,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,NCI-H1688,lung
NH-12,NH-12,908447,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NH-12,autonomic_ganglia
IOSE-397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IOSE-397,ovary
NCCIT,NCCIT,908441,Y,Y,Y,Y,N,urogenital_system,testis,,MSS/MSI-L,R,Adherent,NCCIT,testis
NCI-H661,NCI-H661,687829,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H661,lung
COLO-824,COLO-824,906812,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,COLO-824,breast
HCC70,HCC70,907048,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC70,breast
GCIY,GCIY,906869,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,GCIY,stomach
TUR,TUR,909773,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSI-H,R,Suspension,TUR,haematopoietic_and_lymphoid_tissue
IHH-4,IHH-4,1240154,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Semi-Adherent,IHH-4,thyroid
NCI-H1568,NCI-H1568,1298348,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1568,lung
NB5,NB5,949176,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB5,autonomic_ganglia
HCE-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCE-7,oesophagus
ES8,ES8,949155,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES8,bone
CTV-1,CTV-1,753548,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSI-H,R,Suspension,CTV-1,haematopoietic_and_lymphoid_tissue
H3118,H3118,1240140,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,,MSS/MSI-L,R,Adherent,H3118,salivary_gland
GOTO,GOTO,906875,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,GOTO,autonomic_ganglia
SJRH30,SJRH30,909716,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent,SJRH30,soft_tissue
IST-SL1,IST-SL1,753564,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,IST-SL1,lung
SCC-3,SCC-3,910930,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SCC-3,haematopoietic_and_lymphoid_tissue
UE6E7T-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UE6E7T-3,haematopoietic_and_lymphoid_tissue
H2795,H2795,1290813,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2795,pleura
DG-75,DG-75,906838,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSI-H,R,Suspension,DG-75,haematopoietic_and_lymphoid_tissue
HCC1569,HCC1569,907046,Y,Y,Y,Y,Y,breast,breast,BRCA,MSI-H,R,Adherent,HCC1569,breast
G-402,G-402,907298,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,R,Adherent,G-402,soft_tissue
SW872,SW872,909756,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,SW872,soft_tissue
JAR,JAR,907175,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,R,Adherent,JAR,testis
OCUB-M,OCUB-M,909256,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,OCUB-M,breast
SW48,SW48,909751,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent,SW48,large_intestine
OV7,OV-7,1480360,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OV7,ovary
SW1417,SW1417,909747,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW1417,large_intestine
EFM-19,EFM-19,906851,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,EFM-19,breast
HARA,HARA,1240142,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,HARA,breast
MONO-MAC-6,MONO-MAC-6,908148,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,MONO-MAC-6,haematopoietic_and_lymphoid_tissue
SNU-387,SNU-387,909736,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent,SNU-387,liver
JHU-011,JHU-011,1240161,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,JHU-011,head_and_neck
OVCAR-5,OVCAR-5,905969,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVCAR-5,ovary
SU-DHL-4,SU-DHL-4,1331035,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SU-DHL-4,haematopoietic_and_lymphoid_tissue
BICR 31,BICR31,1290725,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BICR 31,upper_aerodigestive_tract
EW-11,EW-11,684062,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,EW-11,bone
HT-115,HT-115,907289,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,HT-115,large_intestine
MEL-HO,MEL-HO,908124,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,MEL-HO,skin
T98G,T98G,687586,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,T98G,central_nervous_system
IGROV-1,IGROV-1,905968,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,IGROV-1,ovary
NCI-H1944,NCI-H1944,1240185,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1944,lung
LCLC-97TM1,LCLC-97TM1,946361,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,LCLC-97TM1,lung
WM1552C,WM1552C,1299078,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,WM1552C,skin
KM-H2,KM-H2,909976,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,KM-H2,haematopoietic_and_lymphoid_tissue
Panc 08.13,PANC-08-13,925347,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,Panc 08.13,pancreas
NCI-H810,NCI-H810,925341,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,D/F12,Adherent,NCI-H810,lung
CCF-STTG1,CCF-STTG1,906823,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,CCF-STTG1,central_nervous_system
FTC-133,FTC-133,906864,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,FTC-133,thyroid
A2058,A2058,906792,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,A2058,skin
Ca9-22,Ca9-22,753538,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Ca9-22,upper_aerodigestive_tract
D-392MG,D-392MG,946370,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-392MG,central_nervous_system
LU-99A,LU-99A,907796,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,LU-99A,lung
YH-13,YH-13,909905,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,YH-13,central_nervous_system
SK-LMS-1,SK-LMS-1,909720,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,SK-LMS-1,soft_tissue
PCI-6A,PCI-6A,1240206,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,PCI-6A,head_and_neck
NCI-SNU-1,NCI-SNU-1,908444,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSI-H,R,Suspension,NCI-SNU-1,stomach
COR-L321,COR-L321,1322213,Y,Y,Y,Y,Y,lung,Lung_other,UNABLE TO CLASSIFY,MSS/MSI-L,R,Suspension,COR-L321,lung
RCC10RGB,RCC10RGB,909974,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC10RGB,kidney
CESS,CESS,910688,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,CESS,haematopoietic_and_lymphoid_tissue
CHP-212,CHP-212,906820,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,CHP-212,autonomic_ganglia
EW-16,EW-16,949165,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,EW-16,bone
LU-134-A,LU-134-A,753588,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-134-A,lung
TE-1,TE-1,753621,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-1,oesophagus
H-EMC-SS,H-EMC-SS,907290,Y,Y,Y,Y,Y,bone,chondrosarcoma,,MSS/MSI-L,D/F12,Adherent,H-EMC-SS,bone
NCI-H1792,NCI-H1792,724868,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1792,lung
NUGC-3,NUGC-3,908455,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSI-H,R,Adherent,NUGC-3,stomach
SK-MEL-2,SK-MEL-2,905955,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSI-H,R,Adherent,SK-MEL-2,skin
H2803,H2803,1240135,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2803,pleura
CAL-85-1,CAL-85-1,910852,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,CAL-85-1,breast
HL-60,HL-60,905938,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,HL-60,haematopoietic_and_lymphoid_tissue
LOU-NH91,LOU-NH91,1298226,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,LOU-NH91,lung
TE-8,TE-8,753623,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-8,oesophagus
HD-MY-Z,HD-MY-Z,907050,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Adherent,HD-MY-Z,haematopoietic_and_lymphoid_tissue
NCI-H1355,NCI-H1355,724866,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1355,lung
NB7,NB7,949174,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB7,autonomic_ganglia
IOSE-75-16SV40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IOSE-75-16SV40,ovary
MKN45,MKN45,925340,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,MKN45,stomach
H2722,H2722,1290812,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2722,pleura
CPC-N,CPC-N,753547,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,CPC-N,lung
HCC1937,HCC1937,749714,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1937,breast
GAMG,GAMG,906868,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,GAMG,central_nervous_system
SF268,SF268,905986,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,SF268,central_nervous_system
SNU-407,SNU-407,1660034,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,SNU-407,large_intestine
H2369,H2369,1290808,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2369,pleura
A172,A172,687563,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,A172,central_nervous_system
EB2,EB2,906846,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,EB2,haematopoietic_and_lymphoid_tissue
KYSE-150,KYSE-150,907317,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-150,oesophagus
MKN1,MKN1,908138,Y,Y,Y,Y,Y,digestive_system,stomach,,MSS/MSI-L,R,Adherent,MKN1,stomach
SBC-3,SBC-3,753610,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,SBC-3,lung
RD,RD,909264,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent,RD,soft_tissue
MDA-MB-330,MDA-MB-330,1330941,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-330,breast
SIMA,SIMA,753620,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,SIMA,autonomic_ganglia
647-V,647-V,906797,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,647-V,urinary_tract
A673,A673,684052,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent,A673,bone
ALL-PO,ALL-PO,910944,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,ALL-PO,haematopoietic_and_lymphoid_tissue
KARPAS-620,KARPAS-620,1327775,Y,Y,Y,Y,Y,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,R,Suspension,KARPAS-620,haematopoietic_and_lymphoid_tissue
MC116,MC116,907799,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,MC116,haematopoietic_and_lymphoid_tissue
SUP-B8,SUP-B8,910209,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,SUP-B8,haematopoietic_and_lymphoid_tissue
RH-1,RH-1,971773,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent,RH-1,soft_tissue
